"Month","Value","Month_num","Tendencia","Value_detrended"
2005-01-01,81,24061,97.7385512584382,-16.7385512584382
2005-02-01,76.4,24062,97.6982819085612,-21.2982819085612
2005-03-01,88,24063,97.6580125586842,-9.65801255868416
2005-04-01,87,24064,97.6177432088072,-10.6177432088072
2005-05-01,91.1,24065,97.57747385893,-6.47747385893004
2005-06-01,91.4,24066,97.537204509053,-6.13720450905302
2005-07-01,90.5,24067,97.496935159176,-6.99693515917602
2005-08-01,95.6,24068,97.456665809299,-1.85666580929902
2005-09-01,92,24069,97.4163964594219,-5.41639645942189
2005-10-01,93.7,24070,97.3761271095449,-3.67612710954488
2005-11-01,92.4,24071,97.3358577596679,-4.93585775966787
2005-12-01,86.6,24072,97.2955884097908,-10.6955884097908
2006-01-01,83.7,24073,97.2553190599137,-13.5553190599137
2006-02-01,80.2,24074,97.2150497100367,-17.0150497100367
2006-03-01,92.4,24075,97.1747803601597,-4.77478036015972
2006-04-01,85.7,24076,97.1345110102826,-11.4345110102826
2006-05-01,95.4,24077,97.0942416604056,-1.69424166040559
2006-06-01,91.1,24078,97.0539723105286,-5.9539723105286
2006-07-01,93.8,24079,97.0137029606515,-3.21370296065147
2006-08-01,98.6,24080,96.9734336107745,1.62656638922553
2006-09-01,93.2,24081,96.9331642608975,-3.73316426089745
2006-10-01,97.5,24082,96.8928949110204,0.607105088979552
2006-11-01,95.9,24083,96.8526255611433,-0.952625561143321
2006-12-01,87,24084,96.8123562112663,-9.81235621126632
2007-01-01,87,24085,96.7720868613893,-9.77208686138931
2007-02-01,82.6,24086,96.7318175115122,-14.1318175115122
2007-03-01,96.4,24087,96.6915481616352,-0.291548161635177
2007-04-01,90.6,24088,96.6512788117582,-6.05127881175818
2007-05-01,99.9,24089,96.6110094618812,3.28899053811884
2007-06-01,96.9,24090,96.570740112004,0.32925988799596
2007-07-01,99.8,24091,96.530470762127,3.26952923787296
2007-08-01,104.9,24092,96.49020141225,8.40979858774998
2007-09-01,98.4,24093,96.449932062373,1.95006793762698
2007-10-01,107.8,24094,96.4096627124959,11.3903372875041
2007-11-01,102.4,24095,96.3693933626189,6.03060663738111
2007-12-01,92.6,24096,96.3291240127419,-3.72912401274189
2008-01-01,94.8,24097,96.2888546628648,-1.48885466286477
2008-02-01,91.1,24098,96.2485853129878,-5.14858531298776
2008-03-01,97.7,24099,96.2083159631107,1.49168403688925
2008-04-01,99.2,24100,96.1680466132337,3.03195338676626
2008-05-01,102.5,24101,96.1277772633566,6.37222273664338
2008-06-01,103.3,24102,96.0875079134796,7.21249208652038
2008-07-01,108.5,24103,96.0472385636026,12.4527614363974
2008-08-01,106.9,24104,96.0069692137255,10.8930307862745
2008-09-01,107.3,24105,95.9666998638485,11.3333001361515
2008-10-01,108.4,24106,95.9264305139715,12.4735694860285
2008-11-01,96.2,24107,95.8861611640945,0.313838835905543
2008-12-01,79.1,24108,95.8458918142173,-16.7458918142173
2009-01-01,78.7,24109,95.8056224643403,-17.1056224643403
2009-02-01,76.1,24110,95.7653531144633,-19.6653531144633
2009-03-01,88.6,24111,95.7250837645863,-7.12508376458632
2009-04-01,85.2,24112,95.6848144147092,-10.4848144147092
2009-05-01,91.3,24113,95.6445450648322,-4.34454506483219
2009-06-01,92.2,24114,95.6042757149552,-3.40427571495518
2009-07-01,97.7,24115,95.5640063650781,2.13599363492195
2009-08-01,99.6,24116,95.523737015201,4.07626298479894
2009-09-01,99.4,24117,95.483467665324,3.91653233467596
2009-10-01,105.6,24118,95.443198315447,10.156801684553
2009-11-01,101.4,24119,95.4029289655699,5.99707103443009
2009-12-01,94.1,24120,95.3626596156929,-1.26265961569291
2010-01-01,91.2,24121,95.3223902658159,-4.12239026581589
2010-02-01,89,24122,95.2821209159388,-6.28212091593878
2010-03-01,105.1,24123,95.2418515660618,9.85814843393823
2010-04-01,99.3,24124,95.2015822161848,4.09841778381524
2010-05-01,104.3,24125,95.1613128663078,9.13868713369224
2010-06-01,102.5,24126,95.1210435164306,7.37895648356937
2010-07-01,106.9,24127,95.0807741665536,11.8192258334464
2010-08-01,108.1,24128,95.0405048166766,13.0594951833234
2010-09-01,105.8,24129,95.0002354667996,10.7997645332004
2010-10-01,107.7,24130,94.9599661169225,12.7400338830775
2010-11-01,106.8,24131,94.9196967670455,11.8803032329545
2010-12-01,96.6,24132,94.8794274171685,1.72057258283152
2011-01-01,93.2,24133,94.8391580672914,-1.63915806729135
2011-02-01,95.4,24134,94.7988887174143,0.601111282585663
2011-03-01,104.4,24135,94.7586193675373,9.64138063246267
2011-04-01,97.5,24136,94.7183500176603,2.78164998233967
2011-05-01,107.1,24137,94.6780806677832,12.4219193322168
2011-06-01,102.8,24138,94.6378113179062,8.1621886820938
2011-07-01,106.1,24139,94.5975419680292,11.5024580319708
2011-08-01,110.8,24140,94.5572726181521,16.2427273818479
2011-09-01,104.8,24141,94.5170032682751,10.2829967317249
2011-10-01,106.3,24142,94.4767339183981,11.8232660816019
2011-11-01,104.2,24143,94.436464568521,9.76353543147896
2011-12-01,95.7,24144,94.3961952186439,1.30380478135608
2012-01-01,88.7,24145,94.3559258687669,-5.65592586876691
2012-02-01,89.8,24146,94.3156565188899,-4.51565651888991
2012-03-01,99.7,24147,94.2753871690129,5.4246128309871
2012-04-01,92.8,24148,94.2351178191358,-1.43511781913578
2012-05-01,102.5,24149,94.1948484692588,8.30515153074123
2012-06-01,98.3,24150,94.1545791193818,4.14542088061823
2012-07-01,104.5,24151,94.1143097695046,10.3856902304954
2012-08-01,111.5,24152,94.0740404196276,17.4259595803724
2012-09-01,103.4,24153,94.0337710697506,9.36622893024938
2012-10-01,111.8,24154,93.9935017198736,17.8064982801264
2012-11-01,104.8,24155,93.9532323699965,10.8467676300035
2012-12-01,92.2,24156,93.9129630201195,-1.71296302011949
2013-01-01,94.5,24157,93.8726936702425,0.627306329757516
2013-02-01,88.1,24158,93.8324243203654,-5.73242432036537
2013-03-01,97.7,24159,93.7921549704884,3.90784502951165
2013-04-01,101.8,24160,93.7518856206113,8.04811437938865
2013-05-01,105,24161,93.7116162707343,11.2883837292657
2013-06-01,101.7,24162,93.6713469208572,8.02865307914279
2013-07-01,108,24163,93.6310775709802,14.3689224290198
2013-08-01,112,24164,93.5908082211032,18.4091917788968
2013-09-01,107.3,24165,93.5505388712261,13.7494611287739
2013-10-01,112.6,24166,93.5102695213491,19.0897304786509
2013-11-01,106.1,24167,93.4700001714721,12.6299998285279
2013-12-01,90.1,24168,93.4297308215951,-3.32973082159506
2014-01-01,92.6,24169,93.3894614717179,-0.789461471717942
2014-02-01,92.3,24170,93.3491921218409,-1.04919212184093
2014-03-01,97.3,24171,93.3089227719639,3.99107722803608
2014-04-01,96,24172,93.2686534220869,2.73134657791309
2014-05-01,101.7,24173,93.2283840722098,8.47161592779021
2014-06-01,94.9,24174,93.1881147223328,1.71188527766722
2014-07-01,104.4,24175,93.1478453724558,11.2521546275442
2014-08-01,106.3,24176,93.1075760225787,13.1924239774213
2014-09-01,105.6,24177,93.0673066727016,12.5326933272983
2014-10-01,109.3,24178,93.0270373228246,16.2729626771754
2014-11-01,99.8,24179,92.9867679729476,6.81323202705236
2014-12-01,87.7,24180,92.9464986230705,-5.24649862307051
2015-01-01,88.1,24181,92.9062292731935,-4.80622927319351
2015-02-01,83.7,24182,92.8659599233165,-9.16595992331649
2015-03-01,94.3,24183,92.8256905734394,1.47430942656062
2015-04-01,88.8,24184,92.7854212235624,-3.98542122356237
2015-05-01,93.1,24185,92.7451518736854,0.354848126314636
2015-06-01,92.5,24186,92.7048825238084,-0.204882523808351
2015-07-01,95.5,24187,92.6646131739312,2.83538682606877
2015-08-01,97.6,24188,92.6243438240542,4.97565617594577
2015-09-01,94.3,24189,92.5840744741772,1.71592552582278
2015-10-01,97.2,24190,92.5438051243002,4.6561948756998
2015-11-01,87.6,24191,92.5035357744231,-4.90353577442309
2015-12-01,77.2,24192,92.4632664245461,-15.2632664245461
2016-01-01,76.3,24193,92.4229970746691,-16.1229970746691
2016-02-01,75.8,24194,92.3827277247919,-16.582727724792
2016-03-01,83.7,24195,92.3424583749149,-8.64245837491494
2016-04-01,83,24196,92.3021890250379,-9.30218902503793
2016-05-01,86.3,24197,92.2619196751609,-5.96191967516093
2016-06-01,87.7,24198,92.2216503252838,-4.5216503252838
2016-07-01,89.6,24199,92.1813809754068,-2.5813809754068
2016-08-01,93,24200,92.1411116255298,0.858888374470212
2016-09-01,90.7,24201,92.1008422756527,-1.40084227565266
2016-10-01,90.2,24202,92.0605729257757,-1.86057292577566
2016-11-01,86.5,24203,92.0203035758987,-5.52030357589865
2016-12-01,77.2,24204,91.9800342260216,-14.7800342260216
2017-01-01,77.9,24205,91.9397648761445,-14.0397648761445
2017-02-01,75.9,24206,91.8994955262675,-15.9994955262675
2017-03-01,85.4,24207,91.8592261763905,-6.4592261763905
2017-04-01,79.3,24208,91.8189568265135,-12.5189568265135
2017-05-01,90.1,24209,91.7786874766364,-1.67868747663638
2017-06-01,88.4,24210,91.7384181267594,-3.33841812675936
2017-07-01,92.1,24211,91.6981487768824,0.401851223117632
2017-08-01,96.7,24212,91.6578794270052,5.04212057299476
2017-09-01,93,24213,91.6176100771282,1.38238992287177
2017-10-01,95.1,24214,91.5773407272512,3.52265927274877
2017-11-01,90.6,24215,91.5370713773742,-0.937071377374224
2017-12-01,81,24216,91.4968020274971,-10.4968020274971
2018-01-01,82.3,24217,91.4565326776201,-9.15653267762009
2018-02-01,77.3,24218,91.4162633277431,-14.1162633277431
2018-03-01,86.2,24219,91.375993977866,-5.17599397786596
2018-04-01,86.5,24220,91.335724627989,-4.83572462798895
2018-05-01,84.4,24221,91.2954552781119,-6.89545527811194
2018-06-01,91.1,24222,91.2551859282349,-0.155185928234943
2018-07-01,95.8,24223,91.2149165783578,4.58508342164218
2018-08-01,98.2,24224,91.1746472284808,7.0253527715192
2018-09-01,90.7,24225,91.1343778786038,-0.434377878603797
2018-10-01,95.8,24226,91.0941085287267,4.70589147127332
2018-11-01,89.5,24227,91.0538391788497,-1.55383917884967
2018-12-01,78,24228,91.0135698289727,-13.0135698289727
2019-01-01,80.7,24229,90.9733004790957,-10.2733004790957
2019-02-01,79.1,24230,90.9330311292185,-11.8330311292185
2019-03-01,81,24231,90.8927617793415,-9.89276177934153
2019-04-01,83.3,24232,90.8524924294645,-7.55249242946452
2019-05-01,91,24233,90.8122230795875,0.187776920412489
2019-06-01,85.8,24234,90.7719537297104,-4.97195372971039
2019-07-01,93.4,24235,90.7316843798334,2.66831562016662
2019-08-01,96.2,24236,90.6914150299564,5.50858497004363
2019-09-01,91.8,24237,90.6511456800793,1.14885431992074
2019-10-01,97,24238,90.6108763302022,6.38912366979775
2019-11-01,88,24239,90.5706069803252,-2.57060698032524
2019-12-01,76.9,24240,90.5303376304482,-13.6303376304482
